epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,153.182,0.76562,1.37856,1.37198,0.71138,0.7777,0.85149,0.73383,0.56641,1.01205,1.02108,8.875e-05,8.875e-05,8.875e-05
132,154.299,0.68663,1.47472,1.35641,0.75809,0.77527,0.85605,0.74197,0.56499,0.96906,1.01238,8.4625e-05,8.4625e-05,8.4625e-05
133,155.388,0.82211,1.58094,1.46598,0.75809,0.77527,0.85605,0.74197,0.56499,0.96906,1.01238,8.05e-05,8.05e-05,8.05e-05
134,156.446,0.76964,1.55995,1.4188,0.76383,0.80445,0.85733,0.73379,0.56285,0.93664,1.00347,7.6375e-05,7.6375e-05,7.6375e-05
135,157.628,0.69507,1.51765,1.36342,0.76129,0.8149,0.85942,0.74195,0.55487,0.92294,0.98843,7.225e-05,7.225e-05,7.225e-05
136,159.185,0.71279,1.45484,1.36152,0.75873,0.81957,0.89809,0.77643,0.55453,0.89273,0.98396,6.8125e-05,6.8125e-05,6.8125e-05
137,160.412,0.69809,1.41012,1.34279,0.75873,0.81957,0.89809,0.77643,0.55453,0.89273,0.98396,6.4e-05,6.4e-05,6.4e-05
138,161.481,0.70183,1.48781,1.36521,0.67104,0.88906,0.89871,0.78509,0.55348,0.87008,0.97627,5.9875e-05,5.9875e-05,5.9875e-05
139,162.561,0.78983,1.56898,1.46505,0.6761,0.88604,0.90848,0.79898,0.55564,0.86712,0.9755,5.575e-05,5.575e-05,5.575e-05
140,163.668,0.64231,1.37808,1.26093,0.6934,0.8882,0.9097,0.80745,0.55523,0.848,0.96835,5.1625e-05,5.1625e-05,5.1625e-05
141,166.107,0.3938,1.93673,1.2261,0.6934,0.8882,0.9097,0.80745,0.55523,0.848,0.96835,4.75e-05,4.75e-05,4.75e-05
142,167.298,0.34226,1.80726,1.13381,0.68304,0.88771,0.91273,0.81248,0.5534,0.84473,0.96723,4.3375e-05,4.3375e-05,4.3375e-05
143,168.371,0.4033,1.70812,1.19104,0.67718,0.88422,0.91374,0.80996,0.54479,0.84098,0.956,3.925e-05,3.925e-05,3.925e-05
144,169.481,0.32243,1.65297,1.12395,0.84186,0.75857,0.91604,0.81737,0.53201,0.83528,0.9385,3.5125e-05,3.5125e-05,3.5125e-05
145,170.91,0.30343,1.54789,1.14341,0.84186,0.75857,0.91604,0.81737,0.53201,0.83528,0.9385,3.1e-05,3.1e-05,3.1e-05
146,172.415,0.28154,1.52822,1.11916,0.83859,0.76029,0.91604,0.8204,0.52078,0.82974,0.92543,2.6875e-05,2.6875e-05,2.6875e-05
147,173.508,0.25661,1.46761,1.09439,0.84094,0.76165,0.90854,0.81352,0.51442,0.82613,0.919,2.275e-05,2.275e-05,2.275e-05
148,174.66,0.25023,1.53418,1.10459,0.83459,0.76423,0.90854,0.81615,0.51258,0.82591,0.91822,1.8625e-05,1.8625e-05,1.8625e-05
149,175.75,0.26921,1.59772,1.13208,0.83459,0.76423,0.90854,0.81615,0.51258,0.82591,0.91822,1.45e-05,1.45e-05,1.45e-05
150,176.761,0.23219,1.57447,1.05822,0.81806,0.7698,0.90854,0.80555,0.51309,0.82513,0.92183,1.0375e-05,1.0375e-05,1.0375e-05
